变量名,fmt,fmt_tw,fmt_en,fmt_vn,fmt_kr
2017,7. The bonus and supply options will be a great help for battles and for increasing points,7.加成、補給類選項會給戰鬥和積分提供大量的幫助,7. The bonus and supply options will be a great help for battles and for increasing points,,"""7. 보너스, 보급 유형의 선택지는 전투 및 포인트에 큰 도움을 줍니다."""
2018,"8. Some of the chest options can give high rewards, and can be opened by spending diamonds to get more rewards.",8.寶箱類的選項可以獲得一些高額獎勵，更可通過使用鑽石額外開啟，獲得更多的獎勵,"8. Some of the chest options can give high rewards, and can be opened by spending diamonds to get more rewards.",,"""8. 보물상자 유형의 선택지는 고급 보상을 획득할 수 있으며, 다이아를 사용해 개방하면 더 많은 보상을 획득할 수 있습니다."""
2019,9. Event type options will generate corresponding results randomly or according to the selection,9.事件類的選項會隨機或根據選擇出現對應的結果,9. Event type options will generate corresponding results randomly or according to the selection,,9. 사건 유형의 선택지에는 선택에 따라 해당하는 결과가 발생합니다.
,,,,,
2101,1. There are 2 types of Pokémons to catch: Map regular and Discovery by chance,1.捕捉分為地圖常駐和機緣發現兩種情況,1. There are 2 types of Pokémons to catch: Map regular and Discovery by chance,,1. 포획은 지도 일반 및 찬스 발견 두 종의 상황이 있습니다.
2102,2. The map regular Pokémons will appear after the corresponding chapter of the map is cleared; while the Pokémons that are discovered by chance will appear occasionally when challenging or blitzing the level.,2.機緣發現的精靈在挑戰或掃蕩關卡會偶爾出現,2. The map regular Pokémons will appear after the corresponding chapter of the map is cleared; while the Pokémons that are discovered by chance will appear occasionally when challenging or blitzing the level.,,"""2. 지도 포획은 지도의 특정 챕터 클리어 시 발생하며, 찬스 발견 포켓몬은 스테이지 도전 또는 소탕 시 일정 확률로 등장합니다."""
2103,"3. When a regular Pokémon appears on the map, trainers can capture it by tapping on it. Trainers can try until it is successfully captured and disappears on the map.",3.地圖常駐的捕捉出現後顯示在地圖內，可以點擊精靈進行捕捉，可以嘗試直到捕捉成功，完成後捕捉消失,"3. When a regular Pokémon appears on the map, trainers can capture it by tapping on it. Trainers can try until it is successfully captured and disappears on the map.",,"""3. 지도 포획 등장 시 지도에 표시되며, 해당 포켓몬을 터치해 포획을 진행할 수 있습니다. 포획 성공 시까지 시도할 수 있고, 포획 완료 시 사라집니다."""
2104,"4. All the Pokémons encountered will be displayed in the [Poké Balls] at the top right hand corner of the level. There is a limited number of tries within a time limit to catch these Pokémons, which will disappear if they are not caught or if they are caught successfully.",4.機緣發現的精靈會整合到關卡右上角的【精靈球】中，這裡的精靈有嘗試次數和時間的限制，超過次數和時間限或完成捕捉後消失,"4. All the Pokémons encountered will be displayed in the [Poké Balls] at the top right hand corner of the level. There is a limited number of tries within a time limit to catch these Pokémons, which will disappear if they are not caught or if they are caught successfully.  ",,"""4. 찬스 발견 포켓몬은 스테이지 우측 상단의 [몬스터볼]에 표시되며, 이곳의 포켓몬은 횟수 및 시간 제한이 있습니다. 횟수 및 시간을 초과하거나 포획을 완료하면 사라집니다."""
2105,5. Trainers can use different quality Poké Balls with different success rates to catch Pokémons.,5.可以消耗不同品質的精靈球進行捕捉，不同精靈球的捕捉成功率不同,"5. Trainers can use different quality Poké Balls with different success rates to catch Pokémons. ",,"""5. 다양한 등급의 몬스터볼을 사용해 포획할 수 있으며, 몬스터볼마다 포획 성공률이 다릅니다."""
2106,6. Increase the catching level to enhance the success rate,6.提升捕捉等級可以提高捕捉的成功率,6. Increase the catching level to enhance the success rate,,6. 포획 레벨을 높이면 포획 성공률이 증가합니다.
2107,7. We wish you luck in catching Pokémons you desire!,7.祝能捕捉到心怡的精靈,7. We wish you luck in catching Pokémons you desire!,,7. 원하는 포켓몬을 포획할 수 있기를 기원합니다.
,,,,,
,,,,,
10001,"1. The battle carries out automatically in the arena, players cannot perform manually.",1.競技場中戰鬥自動進行，玩家不能手動操作。,"1. The battle carries out automatically in the arena, players cannot perform manually.","1. Trong sân đấu chiến đấu tự động tiến hành, người chơi không năng thủ động thao tác.","""1. 아레나의 전투는 자동으로 진행되며, 유저는 수동으로 조작할 수 없습니다."""
10002,"2. If you win and the defending team ranks higher than the attacking team, the rankings of the two teams will swap.",2.若戰鬥勝利，且防守方的排名高於進攻方，雙方排名對調。,"2. If you win and the defending team ranks higher than the attacking team, the rankings of the two teams will swap.","2. Như chiến đấu thắng lợi, lại phòng thủ phương xếp hạng cao hơn phe tấn công, song phương xếp hạng đổi chỗ.",2. 전투 승리 시 방어 측의 순위가 공격 측보다 높다면 양측의 순위가 변경됩니다.
10003,3. The attacking party loses if the winner is undecided at the end of the last turn,3.若戰鬥達到回合上限，則進攻方失敗。,3. The attacking party loses if the winner is undecided at the end of the last turn,"3. Như chiến đấu đạt tới hiệp hạn mức cao nhất, thì phe tấn công thất bại.",3. 전투가 턴 한도에 도달할 시 공격 측의 패배입니다.
10004,4. Each player has 5 free chances to start a battle daily. The chances resets at 05:00 every day.,4.每個玩家每天有5次免費發起戰鬥的機會，每天淩晨5點重置次數。,4. Each player has 5 free chances to start a battle daily. The chances resets at 05:00 every day.,"4. Mỗi cái người chơi mỗi ngày có 5 Lần miễn phí khởi xướng chiến đấu cơ hội, mỗi ngày rạng sáng 5 Điểm thiết lập lại số lần.","""4. 유저는 매일 무료로 전투를 0회 진행할 수 있고, 매일 오전 0시에 도전 횟수가 초기화됩니다."""
10005,"5. At the end of the battle, the attacking party can get battle rewards, and can proceed to the next challenge at the end of the countdown.",5.戰鬥結束後，進攻方可獲得戰鬥獎勵，在倒計時結束後可進行下一次挑戰。,"5. At the end of the battle, the attacking party can get battle rewards, and can proceed to the next challenge at the end of the countdown.","5. Sau khi chiến đấu kết thúc, phe tấn công có thể đạt được chiến đấu ban thưởng, tại đếm ngược kết thúc sau có thể tiến hành lần tiếp theo khiêu chiến.","""5. 전투 종료 후 공격 측은 전투 보상을 획득할 수 있으며, 시간 종료 후 다음 도전을 진행할 수 있습니다."""
10006,6. You cannot select trainers in battle as opponents.,6.正在戰鬥的敵人無法被選定為對手。,6. You cannot select trainers in battle as opponents.,6. Ngay tại chiến đấu địch nhân không cách nào bị tuyển định làm đối thủ.,6. 전투 중인 적은 상대로 선택할 수 없습니다.
10007,"7. #C0x5B545B#Ranking rewards will be given #C0xF76B45# to the top 99,999 players via mail at 21:00 every day.",7.每天#C0xF76B45#晚9點整#C0x5B545B#結算排名獎勵，通過信箱為上榜玩家（前99999名）發放排名獎勵。,"7. #C0x5B545B#Ranking rewards will be given #C0xF76B45# to the top 99,999 players via mail at 21:00 every day.","7. Mỗi ngày #C0xF76B45# Muộn 9 Giờ đúng #C0x5B545B# Kết toán xếp hạng ban thưởng, thông qua hòm thư vì lên bảng người chơi ( Trước 99999 Tên ) Cấp cho xếp hạng ban thưởng.","""7. 매일 #C0xF76B45#저녁 9시#C0x5B545B#에 순위 보상을 결산하며, 우편을 통해 순위 내 유저(상위 99999위)에게 보상을 발송합니다."""
,,,,,
10101,1. Trainers can receive ranking rewards when they reach a certain rank,1.當玩家達到規定排名時，可領取排名獎勵,1. Trainers can receive ranking rewards when they reach a certain rank,"1. Đương người chơi đạt tới quy định xếp hạng lúc, nhưng nhận lấy xếp hạng ban thưởng",1. 유저가 지정 순위를 달성하면 순위 보상을 수령할 수 있습니다.
10102,2. Ranking rewards can be claimed by tapping the #L10#Ranking Rewards#L0# button,2.排名獎勵在#L10#“排名獎勵”#L0#按鈕內領取,2. Ranking rewards can be claimed by tapping the #L10#Ranking Rewards#L0# button,2. Xếp hạng ban thưởng tại #L10# Xếp hạng ban thưởng #L0# Nút bấm bên trong nhận lấy,2. 순위 보상은 #L10#“순위 보상”#L0# 버튼을 통해 수령합니다.
10103,3. Each reward can only be claimed once,3.每份獎勵僅可領取一次,3. Each reward can only be claimed once,3. Mỗi bản ban thưởng chỉ có thể nhận lấy một lần,3. 각 보상은 1회만 수령할 수 있습니다.
,,,,,
,,,,,
11001,"1. Welcome to the union. You can not only get to know like-minded friends, and can also get plenty of rewards through playing different modes",1.歡迎來到公會，在這裡不僅可以認識志同道合的朋友，還能通過各玩法獲取豐富的獎勵,"1. Welcome to the union. You can not only get to know like-minded friends, and can also get plenty of rewards through playing different modes",,"""1. 길드에 오신 것을 환영합니다. 이곳에서는 마음이 맞는 친구들과 함께 성장할 수 있고, 각종 이벤트를 통해 풍성한 보상을 획득할 수 있습니다."""
11002,2. Participate in guild building and guild play mode to earn guild coins. Guild Coin is a necessary item used in the guild shop.,2.參與公會建設與公會玩法可以獲得公會幣，公會幣是在公會商店中兌換的必須物品,2. Participate in guild building and guild play mode to earn guild coins. Guild Coin is a necessary item used in the guild shop.,,"""2. 길드 건설 및 길드 이벤트 참가 시 길드 코인을 획득하며, 길드 코인은 길드 상점에서 교환에 사용할 수 있습니다."""
11003,3. Members can participate in guild missions and building through donation center.,3.會員可以通過捐獻中心參與公會任務和公會建設,3. Members can participate in guild missions and building through donation center.,,3. 회원은 기부 센터에서 길드 퀘스트 및 길드 건설에 참가할 수 있습니다.
11004,4. The guild leader may appoint members of the guild as vice leader. The number of vice leaders can increase as the guild level increases,4.會長可任命公會內成員為副會長，副會長人數會隨公會等級提升而增加,4. The guild leader may appoint members of the guild as vice leader. The number of vice leaders can increase as the guild level increases,,"""4. 회장은 길드 내 구성원을 부회장으로 임명할 수 있고, 부회장 수는 길드의 레벨에 따라 증가합니다."""
11005,"6. Both the leader and assistant leader are authorized to approval requests, kick out members, etc.",6.會長和副會長均可進行審批、踢出會員等操作,"6. Both the leader and assistant leader are authorized to approval requests, kick out members, etc.",,6. 회장과 부회장은 가입 심사 및 회원 추방 등을 진행할 수 있습니다.
11006,"7. If the union Leader does not come online for 5 consecutive days, the role will be transferred to the one who meets all the requirements, has the highest contribution level and according to the order of Assistant Leader > Member priority",7.會長連續5天不上線，將會按照副會長>會員的優先順序，傳位給期間滿足上線條件、貢獻度最高的玩家，與其職位互換,"7. If the union Leader does not come online for 5 consecutive days, the role will be transferred to the one who meets all the requirements, has the highest contribution level and according to the order of Assistant Leader > Member priority",,"""7. 회장이 5일 연속 접속하지 않을 시 부회장, 회원 순서로 접속 조건에 맞는 공헌도가 가장 높은 유저에게 회장 직위가 양도됩니다."""
11007,8. The union leader needs to transfer the role to another member before they can leave the union,8.會長需將會長職位傳給其他玩家才能離開公會,8. The union leader needs to transfer the role to another member before they can leave the union,,8. 회장은 직위를 다른 유저에게 양도해야만 길드를 탈퇴할 수 있습니다.
,,,,,
12001,"1. Challenge trainers on different floors, fight towards the higher levels, and win more rewards.",1.挑戰每層的不同玩家，追求更高層數，爭取更多獎勵。,"1. Challenge trainers on different floors, fight towards the higher levels, and win more rewards.",,1.각 층의 유저에게 도전해 더 높은 층에 도달하면 더 많은 보상을 얻을 수 있습니다.
12002,"2. There are chests to be found in some of the floors in the trial. Besides the standard rewards, it gives plenty of rewards when you open it by spending diamonds.",2.試煉的部分樓層中包含寶箱，除了獲得固定獎勵外，更能通過消費鑽石開啟更加豐厚的獎勵。,"2. There are chests to be found in some of the floors in the trial. Besides the standard rewards, it gives plenty of rewards when you open it by spending diamonds.",,"""2. 시련의 일부 층수는 보물상자를 포함하며, 고정 보상 외에 다이아를 소모해 더 많은 보상을 획득할 수 있습니다."""
12003,3. You get a chance to get Pokémons from the chest,3.寶箱中有概率獲得寵物,3. You get a chance to get Pokémons from the chest,,3. 보물상자에서는 일정 확률로 포켓몬을 획득할 수 있습니다.
12004,"4. Some floors can spend trials to get stars and purchase buffs, which will greatly help the subsequent challenges.",4.部分樓層可消耗試煉得星購買增益buff，對後續的挑戰有巨大幫助哦。,"4. Some floors can spend trials to get stars and purchase buffs, which will greatly help the subsequent challenges.",,"""4. 일부 층에서는 시련에서 얻은 별을 소모해 버프를 구매할 수 있고, 버프는 이후 도전에 큰 도움이 됩니다."""
12005,5. Pokémon Trial resets at 05:00 daily.,5.寵物試煉玩法每日淩晨5點重置。,5. Pokémon Trial resets at 05:00 daily.,,5. 포켓몬 시련은 매일 오전 0시에 초기화됩니다.
12006,"6. After the reset, rewards are sent via mail to the trainers who are on the list.",6.重置時，為上榜玩家發送郵件獎勵。,"6. After the reset, rewards are sent via mail to the trainers who are on the list.",,6. 초기화 시 순위 내 유저에게 우편으로 보상을 발송합니다.
12007,"7. When your points reach a certain level, you can get additional rewards.",7.當歷史積分達到某一值時，還能夠獲得額外的積分獎勵。,"7. When your points reach a certain level, you can get additional rewards.",,7. 역대 포인트가 조건을 달성하면 추가 포인트 보상을 획득할 수 있습니다.
,,,,,
13001,1. Trainers can complete the event list available in the first 5 days of the 8-day event. The event automatically ends at the end of the 8th day;,1.玩家可在活動開啟8天內完成前5天開啟的活動列表，超過8天后，活動將自動關閉；,1. Trainers can complete the event list available in the first 5 days of the 8-day event. The event automatically ends at the end of the 8th day;,,1. 유저는 이벤트가 개방되는 8일 중 5일 차에 개방되는 이벤트 목록을 완료할 수 있습니다. 8일 경과 시 이벤트는 자동으로 닫힙니다.
13002,"2. Complete all the targets to receive all the all-target rewards. Otherwise, you can also claim the final reward based on your current progress on the 8th day;",2.完成全部目標即可領取全部的全目標獎勵，或者在第8天時也可以根據當前進度所在的檔位元領取最終獎勵；,"2. Complete all the targets to receive all the all-target rewards. Otherwise, you can also claim the final reward based on your current progress on the 8th day;",,"""2. 모든 목표 보상을 완료하면 전체 목표 보상을 수령할 수 있으며, 또는 8일 차에 현재 진행도에 따라 맞는 최종 보상을 수령할 수 있습니다."""
