变量名,name,name_tw,name_en,name_vn,name_kr,attributeType,rarity,natureType,natureType2,twinFlag,battleFlag,rectSize,bossCard_id,bossLife,cardID,star,icon,cardIcon,cardIcon2,iconSimple,cardShow,cardShowScale,cardShowPosC,unitRes,skin,show,bansxScale,bansxPosC,passiveSkillList,skillList,combinationObjCardId,combinationSkillId,everyPos,lifeScale,specBind,killResumeMp1,scale,scaleC,scaleCMode,scaleU,scaleX,scaleSkin,bornTime,rebornTime,deathTime,deathSound,fightingPoint,buffId,buffLifeRound,buffProb,buffLevel,buffValue1,hpGrow,speedGrow,damageGrow,specialDamageGrow,defenceGrow,specialDefenceGrow,hpBaseC,speedBaseC,damageBaseC,defenceBaseC,specialDamageBaseC,specialDefenceBaseC,hpC,mp1C,initMp1C,hpRecoverC,mp1RecoverC,mp2RecoverC,damageC,specialDamageC,defenceC,specialDefenceC,defenceIgnoreC,specialDefenceIgnoreC,speedC,strikeC,strikeDamageC,strikeResistanceC,blockC,breakBlockC,blockPowerC,dodgeC,hitC,damageDodgeC,damageHitC,damageAddC,damageSubC,ultimateAddC,ultimateSubC,damageDeepenC,damageReduceC,suckBloodC,reboundC,cureC,natureRestraintC,controlPerC,immuneControlC,effectPowerId,summonCalDamage
71,Spearow,烈雀,Spearow,404404,깨비참,base,1,1,10,,,,,,71,,config/portrait/speedranktouxiang/img_21_lq@.png,config/portrait/jinglingtouxiang/img_21_lq@.png,config/portrait/jinglingtouxiang1/img_21_lq@.png,config/portrait/simple/img_21_lq@.png,config/big_hero/normal/img_21_lq@.png,,{x=20;y=15},koudai_lieque/hero_lieque.skel,,config/big_hero/standby/img_21_lq@.png,,{x=100;y=0},,<711;712;713>,,,{'hitPos'={'x'=0;'y'=140};'lifePos'={'x'=0;'y'=300};'headPos'={'x'=0;'y'=260};'namePos'={'x'=0;'y'=300}},,,,1.4,,,0.9,,,,,,,,,,,,,39.027,1.017,8.811,8.17,3.242,3.274,1.04,1.13,1.1,1.01,1.02,1.02,572,1000,400,,,,175,100,46,47,0,0,32,0,15000,0,0,150,3000,0,10000,0,10000,150,0,0,0,,,0,0,,,,,,
72,Fearow,大嘴雀,Fearow,404404,깨비드릴조,base,1,1,10,,,,,,72,,config/portrait/speedranktouxiang/img_22_dzq@.png,config/portrait/jinglingtouxiang/img_22_dzq@.png,config/portrait/jinglingtouxiang1/img_22_dzq@.png,config/portrait/simple/img_22_dzq@.png,config/big_hero/normal/img_22_dzq@.png,1.6,{x=30;y=100},koudai_dazuique/hero_dazuique.skel,,config/big_hero/standby/img_22_dzq@.png,,{x=100;y=0},,<721;722;723>,,,{'hitPos'={'x'=0;'y'=140};'lifePos'={'x'=0;'y'=300};'headPos'={'x'=0;'y'=260};'namePos'={'x'=0;'y'=300}},,,,2.1,,,1.26,,,,,,,,,,,,,41.653,1.089,9.452,8.811,3.563,3.531,1.11,1.21,1.18,1.11,1.1,1.1,881,1000,400,,,,262,177,82,77,0,0,42,0,15000,0,0,150,3000,0,10000,0,10000,150,0,0,0,,,0,0,,,,,,
81,Ekans,阿柏蛇,Ekans,404404,아보,base,1,8,,,,,,,81,,config/portrait/speedranktouxiang/img_23_abs@.png,config/portrait/jinglingtouxiang/img_23_abs@.png,config/portrait/jinglingtouxiang1/img_23_abs@.png,config/portrait/simple/img_23_abs@.png,config/big_hero/normal/img_23_abs@.png,,{x=10;y=15},koudai_aboshe/hero_aboshe.skel,,config/big_hero/standby/img_23_abs@.png,,{x=150;y=0},,<811;812;813>,,,{'hitPos'={'x'=0;'y'=120};'lifePos'={'x'=0;'y'=260};'headPos'={'x'=0;'y'=220};'namePos'={'x'=0;'y'=260}},,,,2.3,,,1.56,,,,,,,,,,,,,38.651,0.972,8.811,8.33,3.371,3.467,1.03,1.08,1.1,1.05,1.04,1.08,515,1000,400,,,,175,122,59,70,0,0,27,0,15000,150,0,150,3000,0,10000,0,10000,0,0,0,0,,,0,0,,,,,,
82,Arbok,阿柏怪,Arbok,404404,아보크,base,1,8,,,,,,,82,,config/portrait/speedranktouxiang/img_24_abg@.png,config/portrait/jinglingtouxiang/img_24_abg@.png,config/portrait/jinglingtouxiang1/img_24_abg@.png,config/portrait/simple/img_24_abg@.png,config/big_hero/normal/img_24_abg@.png,,{x=10;y=5},koudai_aboguai/hero_aboguai.skel,,config/big_hero/standby/img_24_abg@.png,,{x=150;y=0},,<821;822;823>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,,2.4,,,1.44,,,,,,,,,,,,,41.278,1.044,9.612,8.891,3.595,3.692,1.1,1.16,1.2,1.12,1.11,1.15,819,1000,400,,,,279,188,86,98,0,0,35,0,15000,150,0,150,3000,0,10000,0,10000,0,0,0,0,,,0,0,,,,,,
91,Pichu,皮丘,Pichu,404404,피츄,base,2,5,,,,,,,91,,config/portrait/speedranktouxiang/img_172_pq@.png,config/portrait/jinglingtouxiang/img_172_pq@.png,config/portrait/jinglingtouxiang1/img_172_pq@.png,config/portrait/simple/img_172_pq@.png,config/big_hero/normal/img_172_pq@.png,,{x=30;y=35},koudai_piqiu/hero_piqiu.skel,,config/big_hero/standby/img_172_pq@.png,,{x=140;y=-20},<914>,<911;912;913>,,,{'hitPos'={'x'=0;'y'=120};'lifePos'={'x'=0;'y'=260};'headPos'={'x'=0;'y'=220};'namePos'={'x'=0;'y'=260}},,,,2.1,,,1.38,,,,,,,,,,,,,39.777,1.062,8.971,8.811,3.338,3.531,1.06,1.18,1.12,1.04,1.1,1.1,527,1000,400,,,,166,152,53,74,0,0,34,300,15000,0,0,0,3000,0,10000,0,10000,300,0,0,0,,,0,0,,,,,,
92,Pikachu,皮卡丘,Pikachu,404404,피카츄,base,2,5,,,,,,,92,,config/portrait/speedranktouxiang/img_25_pkq@.png,config/portrait/jinglingtouxiang/img_25_pkq@.png,config/portrait/jinglingtouxiang1/img_25_pkq@.png,config/portrait/simple/img_25_pkq@.png,config/big_hero/normal/img_25_pkq@.png,1.1,{x=-20;y=30},koudai_pikaqiu/hero_pikaqiu.skel,,config/big_hero/standby/img_25_pkq@.png,,{x=140;y=-20},<924>,<921;922;923>,,,{'hitPos'={'x'=0;'y'=110};'lifePos'={'x'=0;'y'=240};'headPos'={'x'=0;'y'=200};'namePos'={'x'=0;'y'=240}},,,,2,,,1.2,,,,,,,,,,,,,41.278,1.143,9.292,9.212,3.595,3.692,1.1,1.27,1.16,1.12,1.15,1.15,712,1000,400,,,,233,195,80,91,0,0,46,300,15000,0,0,0,3000,0,10000,0,10000,300,0,0,0,,,0,0,,,,,,
93,Raichu,雷丘,Raichu,404404,라이츄,base,2,5,,,,,,,93,,config/portrait/speedranktouxiang/img_26_lq@.png,config/portrait/jinglingtouxiang/img_26_lq@.png,config/portrait/jinglingtouxiang1/img_26_lq@.png,config/portrait/simple/img_26_lq@.png,config/big_hero/normal/img_26_lq@.png,,{x=30;y=30},koudai_leiqiu/hero_leiqiu.skel,,config/big_hero/standby/img_26_lq@.png,,{x=140;y=-20},<934>,<931;932;933>,,,{'hitPos'={'x'=0;'y'=130};'lifePos'={'x'=0;'y'=280};'headPos'={'x'=0;'y'=240};'namePos'={'x'=0;'y'=280}},,,,2.6,,,1.56,,,,,,,,,,,,,44.28,1.197,10.173,10.173,3.724,3.98,1.18,1.33,1.27,1.16,1.27,1.24,1057,1000,400,,,,325,325,97,129,0,0,54,300,15000,0,0,0,3000,0,10000,0,10000,300,0,0,0,,,0,0,,,,,,
101,Sandshrew,穿山鼠,Sandshrew,404404,모래두지,base,1,9,,,,,,,101,,config/portrait/speedranktouxiang/img_27_css@.png,config/portrait/jinglingtouxiang/img_27_css@.png,config/portrait/jinglingtouxiang1/img_27_css@.png,config/portrait/simple/img_27_css@.png,config/big_hero/normal/img_27_css@.png,0.95,{x=0;y=20},koudai_chuanshanshu/hero_chuanshanshu.skel,,config/big_hero/standby/img_27_css@.png,,{x=140;y=-20},,<1011;1012;1013>,,,{'hitPos'={'x'=0;'y'=110};'lifePos'={'x'=0;'y'=240};'headPos'={'x'=0;'y'=200};'namePos'={'x'=0;'y'=240}},,,,1.6,,,0.96,,,,,,,,,,,,,40.152,0.936,9.131,7.93,3.756,3.242,1.07,1.04,1.14,1.17,0.99,1.01,692,1000,400,,,,217,75,105,46,0,0,23,0,15000,0,100,0,3000,0,10000,0,10000,0,200,0,0,,,0,0,,,,,,
102,Sandslash,穿山王,Sandslash,404404,고지,base,1,9,,,,,,,102,,config/portrait/speedranktouxiang/img_28_csw@.png,config/portrait/jinglingtouxiang/img_28_csw@.png,config/portrait/jinglingtouxiang1/img_28_csw@.png,config/portrait/simple/img_28_csw@.png,config/big_hero/normal/img_28_csw@.png,,{x=10;y=10},koudai_chuanshanwang/hero_chuanshanwang.skel,,config/big_hero/standby/img_28_csw@.png,,{x=100;y=0},,<1021;1022;1023>,,,,,,,1.8,,,1.08,,,,,,,,,,,,,42.779,0.999,9.692,8.491,3.98,3.467,1.14,1.11,1.21,1.24,1.06,1.08,1016,1000,400,,,,294,135,137,71,0,0,30,0,15000,0,100,0,3000,0,10000,0,10000,0,200,0,0,,,0,0,,,,,,
111,Nidoran♀,尼多蘭,Nidoran♀,404404,니드런♀,base,1,8,,,<111>,,,,111,,config/portrait/speedranktouxiang/img_29_ndl@.png,config/portrait/jinglingtouxiang/img_29_ndl@.png,config/portrait/jinglingtouxiang1/img_29_ndl@.png,config/portrait/simple/img_29_ndl@.png,config/big_hero/normal/img_29_ndl@.png,,{x=10;y=15},koudai_niduolan/hero_niduolan.skel,,config/big_hero/standby/img_29_ndl@.png,,{x=140;y=-20},,<1111;1112;1113>,,,{'hitPos'={'x'=0;'y'=110};'lifePos'={'x'=0;'y'=240};'headPos'={'x'=0;'y'=200};'namePos'={'x'=0;'y'=240}},,,,2.1,,,1.26,,,,,,,,,,,,,40.528,0.945,8.491,8.33,3.467,3.338,1.08,1.05,1.06,1.08,1.04,1.04,752,1000,400,,,,140,122,68,55,0,0,23,0,15000,0,0,0,3000,0,10000,0,10000,100,200,0,0,,,0,0,,,,,,
112,Nidorina,尼多娜,Nidorina,404404,니드리나,base,1,8,,,<111>,,,,112,,config/portrait/speedranktouxiang/img_30_ndn@.png,config/portrait/jinglingtouxiang/img_30_ndn@.png,config/portrait/jinglingtouxiang1/img_30_ndn@.png,config/portrait/simple/img_30_ndn@.png,config/big_hero/normal/img_30_ndn@.png,,{x=0;y=30},koudai_niduona/hero_niduona.skel,,config/big_hero/standby/img_30_ndn@.png,,{x=140;y=-20},,<1121;1122;1123>,,,{'hitPos'={'x'=0;'y'=110};'lifePos'={'x'=0;'y'=240};'headPos'={'x'=0;'y'=200};'namePos'={'x'=0;'y'=240}},,,,2.2,,,1.32,,,,,,,,,,,,,42.404,0.981,8.811,8.651,3.595,3.467,1.13,1.09,1.1,1.12,1.08,1.08,952,1000,400,,,,180,161,84,71,0,0,27,0,15000,0,0,0,3000,0,10000,0,10000,100,200,0,0,,,0,0,,,,,,
113,Nidoqueen,尼多後,Nidoqueen,404404,니드퀸,base,1,8,9,,<111>,,,,113,,config/portrait/speedranktouxiang/img_31_ndh@.png,config/portrait/jinglingtouxiang/img_31_ndh@.png,config/portrait/jinglingtouxiang1/img_31_ndh@.png,config/portrait/simple/img_31_ndh@.png,config/big_hero/normal/img_31_ndh@.png,,{x=0;y=10},koudai_niduohou/hero_niduohou.skel,,config/big_hero/standby/img_31_ndh@.png,,{x=140;y=-20},,<1131;1132;1133>,,,{'hitPos'={'x'=0;'y'=155};'lifePos'={'x'=0;'y'=330};'headPos'={'x'=0;'y'=290};'namePos'={'x'=0;'y'=330}},,,,2.3,,,1.44,,,,,,,,,,,,,44.28,1.026,9.532,9.131,3.756,3.756,1.18,1.14,1.19,1.17,1.14,1.17,1226,1000,400,,,,269,217,107,105,0,0,34,0,15000,0,0,0,3000,0,10000,0,10000,100,200,0,0,,,0,0,,,,,,
121,Nidoran♂,尼多朗,Nidoran♂,404404,니드런♂,base,1,8,,,<121>,,,,121,,config/portrait/speedranktouxiang/img_32_ndl@.png,config/portrait/jinglingtouxiang/img_32_ndl@.png,config/portrait/jinglingtouxiang1/img_32_ndl@.png,config/portrait/simple/img_32_ndl@.png,config/big_hero/normal/img_32_ndl@.png,,{x=-5;y=10},koudai_niduolang/hero_niduolang.skel,,config/big_hero/standby/img_32_ndl@.png,,{x=140;y=-20},,<1211;1212;1213>,,,{'hitPos'={'x'=0;'y'=110};'lifePos'={'x'=0;'y'=240};'headPos'={'x'=0;'y'=200};'namePos'={'x'=0;'y'=240}},,,,2.4,,,1.44,,,,,,,,,,,,,39.777,0.963,8.731,8.33,3.338,3.338,1.06,1.07,1.09,1.04,1.04,1.04,644,1000,400,,,,166,122,55,55,0,0,26,0,15000,0,0,150,3000,0,10000,0,10000,150,0,0,0,,,0,0,,,,,,
122,Nidorino,尼多力諾,Nidorino,404404,니드리노,base,1,8,,,<121>,,,,122,,config/portrait/speedranktouxiang/img_33_ndln@.png,config/portrait/jinglingtouxiang/img_33_ndln@.png,config/portrait/jinglingtouxiang1/img_33_ndln@.png,config/portrait/simple/img_33_ndln@.png,config/big_hero/normal/img_33_ndln@.png,,{x=15;y=20},koudai_niduolinuo/hero_niduolinuo.skel,,config/big_hero/standby/img_33_ndln@.png,,{x=140;y=-20},,<1221;1222;1223>,,,{'hitPos'={'x'=0;'y'=110};'lifePos'={'x'=0;'y'=240};'headPos'={'x'=0;'y'=200};'namePos'={'x'=0;'y'=240}},,,,2.2,,,1.32,,,,,,,,,,,,,41.278,0.999,9.051,8.651,3.499,3.467,1.1,1.11,1.13,1.09,1.08,1.08,830,1000,400,,,,208,161,73,71,0,0,30,0,15000,0,0,150,3000,0,10000,0,10000,150,0,0,0,,,0,0,,,,,,
123,"Nidoking ",尼多王,"Nidoking ",404404,니드킹,base,1,8,9,,<121>,,,,123,,config/portrait/speedranktouxiang/img_34_ndw@.png,config/portrait/jinglingtouxiang/img_34_ndw@.png,config/portrait/jinglingtouxiang1/img_34_ndw@.png,config/portrait/simple/img_34_ndw@.png,config/big_hero/normal/img_34_ndw@.png,1.2,{x=15;y=-20},koudai_niduowang/hero_niduowang.skel,,config/big_hero/standby/img_34_ndw@.png,,{x=140;y=-20},,<1231;1232;1233>,,,{'hitPos'={'x'=0;'y'=160};'lifePos'={'x'=0;'y'=340};'headPos'={'x'=0;'y'=300};'namePos'={'x'=0;'y'=340}},,,,2.5,,,1.56,,,,,,,,,,,,,43.53,1.053,9.772,9.372,3.692,3.659,1.16,1.17,1.22,1.15,1.17,1.14,1102,1000,400,,,,301,247,96,93,0,0,37,0,15000,0,0,150,3000,0,10000,0,10000,150,0,0,0,,,0,0,,,,,,
131,Cleffa,皮寶寶,Cleffa,404404,삐,base,2,18,,,,,,,131,,config/portrait/speedranktouxiang/img_173_pbb@.png,config/portrait/jinglingtouxiang/img_173_pbb@.png,config/portrait/jinglingtouxiang1/img_173_pbb@.png,config/portrait/simple/img_173_pbb@.png,config/big_hero/normal/img_173_pbb@.png,0.8,{x=30;y=30},koudai_pibaobao/hero_pibaobao.skel,,config/big_hero/standby/img_173_pbb@.png,,{x=150;y=0},,<1311;1312;1313>,,,{'hitPos'={'x'=0;'y'=110};'lifePos'={'x'=0;'y'=240};'headPos'={'x'=0;'y'=200};'namePos'={'x'=0;'y'=240}},,,,2.3,,,1.38,,,,,,,,,,,,,43.154,0.936,8.571,9.051,3.467,3.724,1.15,1.04,1.07,1.08,1.13,1.16,915,1000,400,,,,125,180,66,97,0,0,20,0,15000,0,100,0,3000,0,10000,0,10000,200,300,0,0,,,0,0,,,,,,
132,Clefairy,皮皮,Clefairy,404404,삐삐,base,2,18,,,,,,,132,,config/portrait/speedranktouxiang/img_35_pp@.png,config/portrait/jinglingtouxiang/img_35_pp@.png,config/portrait/jinglingtouxiang1/img_35_pp@.png,config/portrait/simple/img_35_pp@.png,config/big_hero/normal/img_35_pp@.png,,{x=5;y=20},koudai_pipi/hero_pipi.skel,,config/big_hero/standby/img_35_pp@.png,,{x=140;y=-20},,<1321;1322;1323>,,,{'hitPos'={'x'=0;'y'=120};'lifePos'={'x'=0;'y'=260};'headPos'={'x'=0;'y'=220};'namePos'={'x'=0;'y'=260}},,,,2.3,,,1.38,,,,,,,,,,,,,45.406,0.99,9.051,9.452,3.659,3.82,1.21,1.1,1.13,1.14,1.18,1.19,1206,1000,400,,,,180,226,89,109,0,0,26,0,15000,0,100,0,3000,0,10000,0,10000,200,300,0,0,,,0,0,,,,,,
133,Clefable,皮可西,Clefable,404404,픽시,base,2,18,,,,,,,133,,config/portrait/speedranktouxiang/img_36_pkx@.png,config/portrait/jinglingtouxiang/img_36_pkx@.png,config/portrait/jinglingtouxiang1/img_36_pkx@.png,config/portrait/simple/img_36_pkx@.png,config/big_hero/normal/img_36_pkx@.png,1.1,{x=15;y=5},koudai_pikexi/hero_pikexi.skel,,config/big_hero/standby/img_36_pkx@.png,,{x=140;y=-20},,<1331;1332;1333>,,,{'hitPos'={'x'=0;'y'=120};'lifePos'={'x'=0;'y'=260};'headPos'={'x'=0;'y'=220};'namePos'={'x'=0;'y'=260}},,,,2.3,,,1.38,,,,,,,,,,,,,48.033,1.062,9.692,10.253,3.916,4.077,1.28,1.18,1.21,1.22,1.28,1.27,1601,1000,400,,,,257,342,120,143,0,0,34,0,15000,0,100,0,3000,0,10000,0,10000,200,300,0,0,,,0,0,,,,,,
151,Igglybuff,寶寶丁,Igglybuff,404404,푸푸린,base,2,1,18,,,,,,151,,config/portrait/speedranktouxiang/img_174_bbd@.png,config/portrait/jinglingtouxiang/img_174_bbd@.png,config/portrait/jinglingtouxiang1/img_174_bbd@.png,config/portrait/simple/img_174_bbd@.png,config/big_hero/normal/img_174_bbd@.png,1.5,{x=-20;y=10},koudai_baobaoding/hero_baobaoding.skel,,config/big_hero/standby/img_174_bbd@.png,,,,<1511;1512;1513>,,,{'hitPos'={'x'=0;'y'=110};'lifePos'={'x'=0;'y'=240};'headPos'={'x'=0;'y'=200};'namePos'={'x'=0;'y'=240}},,,,2.3,,,1.1,,,,,,,,,,,,,44.28,0.873,8.09,8.33,3.114,3.178,1.18,0.97,1.01,0.97,1.04,0.99,1226,1000,400,,,,98,122,32,36,0,0,16,0,15000,200,0,0,3000,0,10000,0,10000,0,400,0,0,,,0,0,,,,,,
152,Jigglypuff,胖丁,Jigglypuff,404404,푸린,base,2,1,18,,,,,,152,,config/portrait/speedranktouxiang/img_39_pd@.png,config/portrait/jinglingtouxiang/img_39_pd@.png,config/portrait/jinglingtouxiang1/img_39_pd@.png,config/portrait/simple/img_39_pd@.png,config/big_hero/normal/img_39_pd@.png,1.4,{x=-75;y=25},koudai_pangding/hero_pangding.skel,,config/big_hero/standby/img_39_pd@.png,,,,<1521;1522;1523>,,,{'hitPos'={'x'=0;'y'=120};'lifePos'={'x'=0;'y'=260};'headPos'={'x'=0;'y'=220};'namePos'={'x'=0;'y'=260}},,,,2.3,,,1.2,,,,,,,,,,,,,46.907,0.891,8.491,8.491,3.178,3.21,1.25,0.99,1.06,0.99,1.06,1,1607,1000,400,,,,135,135,36,41,0,0,17,0,15000,200,0,0,3000,0,10000,0,10000,0,400,0,0,,,0,0,,,,,,
153,Wigglytuff,胖可丁,Wigglytuff,404404,푸크린,base,2,1,18,,,,,,153,,config/portrait/speedranktouxiang/img_40_pkd@.png,config/portrait/jinglingtouxiang/img_40_pkd@.png,config/portrait/jinglingtouxiang1/img_40_pkd@.png,config/portrait/simple/img_40_pkd@.png,config/big_hero/normal/img_40_pkd@.png,1.4,{x=-15;y=25},koudai_pangkeding/hero_pangkeding.skel,,config/big_hero/standby/img_40_pkd@.png,,,,<1531;1532;1533>,,,{'hitPos'={'x'=0;'y'=140};'lifePos'={'x'=0;'y'=280};'headPos'={'x'=0;'y'=220};'namePos'={'x'=0;'y'=260}},,,,2.3,,,1.38,,,,,,,,,,,,,49.534,0.954,9.051,9.372,3.403,3.435,1.32,1.06,1.13,1.06,1.17,1.07,2022,1000,400,,,,203,247,61,66,0,0,24,0,15000,200,0,0,3000,0,10000,0,10000,0,400,0,0,,,0,0,,,,,,
161,Zubat,超音蝠,Zubat,404404,주뱃,base,3,8,10,,,,,,161,,config/portrait/speedranktouxiang/img_41_cyf@.png,config/portrait/jinglingtouxiang/img_41_cyf@.png,config/portrait/jinglingtouxiang1/img_41_cyf@.png,config/portrait/simple/img_41_cyf@.png,config/big_hero/normal/img_41_cyf@.png,1.5,{x=-0;y=-20},koudai_chaoyinfu/hero_chaoyinfu.skel,,config/big_hero/standby/img_41_cyf@.png,,,,<1611;1612;1613>,,,{'hitPos'={'x'=0;'y'=110};'lifePos'={'x'=0;'y'=240};'headPos'={'x'=0;'y'=200};'namePos'={'x'=0;'y'=240}},,,,2.5,,,1.2,,,,,,,,,,,,,45.031,1.125,9.692,9.372,3.788,3.852,1.2,1.25,1.21,1.18,1.17,1.2,1007,1000,400,,,,231,183,99,105,0,0,39,0,15000,200,200,0,3000,0,10000,0,10000,500,600,0,500,,,0,0,,,,,,
162,Golbat,大嘴蝠,Golbat,404404,골뱃,base,3,8,10,,,,,,162,,config/portrait/speedranktouxiang/img_42_dzf@.png,config/portrait/jinglingtouxiang/img_42_dzf@.png,config/portrait/jinglingtouxiang1/img_42_dzf@.png,config/portrait/simple/img_42_dzf@.png,config/big_hero/normal/img_42_dzf@.png,1.5,{x=-120;y=50},koudai_dazuifu/hero_dazuifu.skel,,config/big_hero/standby/img_42_dzf@.png,,,,<1621;1622;1623>,,,{'hitPos'={'x'=0;'y'=125};'lifePos'={'x'=0;'y'=270};'headPos'={'x'=0;'y'=230};'namePos'={'x'=0;'y'=270}},,,,2,,,1.2,,,,,,,,,,,,,49.158,1.224,10.653,10.253,4.173,4.205,1.31,1.36,1.33,1.3,1.28,1.31,1590,1000,400,,,,359,302,148,155,0,0,54,0,15000,200,200,0,3000,0,10000,0,10000,500,600,0,500,,,0,0,,,,,,
163,Crobat,叉字蝠,Crobat,404404,크로뱃,base,3,8,10,,,,,,163,,config/portrait/speedranktouxiang/img_169_czf@.png,config/portrait/jinglingtouxiang/img_169_czf@.png,config/portrait/jinglingtouxiang1/img_169_czf@.png,config/portrait/simple/img_169_czf@.png,config/big_hero/normal/img_169_czf@.png,1.7,{x=-160;y=60},koudai_chazifu/hero_chazifu.skel,,config/big_hero/standby/img_169_czf@.png,,,,<1631;1632;1633>,,,{'hitPos'={'x'=0;'y'=120};'lifePos'={'x'=0;'y'=260};'headPos'={'x'=0;'y'=220};'namePos'={'x'=0;'y'=260}},,,,1.55,,,1.2,,,,,,,,,,,,,50.284,1.341,10.894,10.413,4.269,4.269,1.34,1.49,1.36,1.33,1.3,1.33,1771,1000,400,,,,399,321,163,163,0,0,74,0,15000,200,200,0,3000,0,10000,0,10000,500,600,0,500,,,0,0,,,,,,
171,Oddish,走路草,Oddish,404404,뚜벅초,base,1,4,8,,,,,,171,,config/portrait/speedranktouxiang/img_43_zlc@.png,config/portrait/jinglingtouxiang/img_43_zlc@.png,config/portrait/jinglingtouxiang1/img_43_zlc@.png,config/portrait/simple/img_43_zlc@.png,config/big_hero/normal/img_43_zlc@.png,1.2,{x=25;y=15},koudai_zoulucao/hero_zoulucao.skel,,config/big_hero/standby/img_43_zlc@.png,,{x=140;y=-20},,<1711;1712;1713>,,,{'hitPos'={'x'=0;'y'=95};'lifePos'={'x'=0;'y'=210};'headPos'={'x'=0;'y'=170};'namePos'={'x'=0;'y'=210}},,,,3.2,,,2.04,,,,,,,,,,,,,39.777,0.909,8.571,9.131,3.467,3.563,1.06,1.01,1.07,1.08,1.14,1.11,633,1000,400,,,,148,217,71,82,0,0,20,0,15000,100,0,0,3000,0,10000,0,10000,100,100,0,0,,,0,0,,,,,,
172,Gloom,臭臭花,Gloom,404404,냄새꼬,base,1,4,8,,,,,,172,,config/portrait/speedranktouxiang/img_44_cch@.png,config/portrait/jinglingtouxiang/img_44_cch@.png,config/portrait/jinglingtouxiang1/img_44_cch@.png,config/portrait/simple/img_44_cch@.png,config/big_hero/normal/img_44_cch@.png,1.3,{x=55;y=35},koudai_chouchouhua/hero_chouchouhua.skel,,config/big_hero/standby/img_44_cch@.png,,{x=140;y=-20},,<1721;1722;1723>,,,{'hitPos'={'x'=0;'y'=120};'lifePos'={'x'=0;'y'=260};'headPos'={'x'=0;'y'=220};'namePos'={'x'=0;'y'=260}},,,,2.8,,,1.68,,,,,,,,,,,,,41.278,0.936,8.891,9.372,3.627,3.659,1.1,1.04,1.11,1.13,1.17,1.14,819,1000,400,,,,188,247,88,93,0,0,23,0,15000,100,0,0,3000,0,10000,0,10000,100,100,0,0,,,0,0,,,,,,
173,Vileplume,霸王花,Vileplume,404404,라플레시아,base,1,4,8,,,,,,173,,config/portrait/speedranktouxiang/img_45_bwh@.png,config/portrait/jinglingtouxiang/img_45_bwh@.png,config/portrait/jinglingtouxiang1/img_45_bwh@.png,config/portrait/simple/img_45_bwh@.png,config/big_hero/normal/img_45_bwh@.png,1.3,{x=0;y=15},koudai_bawanghua/hero_bawanghua.skel,,config/big_hero/standby/img_45_bwh@.png,,{x=140;y=-20},,<1731;1732;1733>,,,{'hitPos'={'x'=0;'y'=130};'lifePos'={'x'=0;'y'=280};'headPos'={'x'=0;'y'=240};'namePos'={'x'=0;'y'=280}},,,,2.4,,,1.44,,,,,,,,,,,,,42.779,0.963,9.292,9.932,3.756,3.788,1.14,1.07,1.16,1.17,1.24,1.18,1016,1000,400,,,,233,327,105,111,0,0,26,0,15000,100,0,0,3000,0,10000,0,10000,100,100,0,0,,,0,0,,,,,,
191,Venonat,毛球,Venonat,404404,콘팡,base,1,12,8,,,,,,191,,config/portrait/speedranktouxiang/img_48_mq@.png,config/portrait/jinglingtouxiang/img_48_mq@.png,config/portrait/jinglingtouxiang1/img_48_mq@.png,config/portrait/simple/img_48_mq@.png,config/big_hero/normal/img_48_mq@.png,1.1,{x=-15;y=45},koudai_maoqiu/hero_maoqiu.skel,,config/big_hero/standby/img_48_mq@.png,,{x=100;y=0},,<1911;1912;1913>,,,{'hitPos'={'x'=0;'y'=130};'lifePos'={'x'=0;'y'=280};'headPos'={'x'=0;'y'=240};'namePos'={'x'=0;'y'=280}},,,,1.4,,,0.84,,,,,,,,,,,,,41.278,0.954,8.651,8.33,3.435,3.467,1.1,1.06,1.08,1.07,1.04,1.08,819,1000,400,,,,161,122,66,71,0,0,24,100,15000,0,0,100,3000,0,10000,0,10000,100,0,0,0,,,0,0,,,,,,
192,Venomoth,摩魯蛾,Venomoth,404404,도나리,base,1,12,8,,,,,,192,,config/portrait/speedranktouxiang/img_49_mle@.png,config/portrait/jinglingtouxiang/img_49_mle@.png,config/portrait/jinglingtouxiang1/img_49_mle@.png,config/portrait/simple/img_49_mle@.png,config/big_hero/normal/img_49_mle@.png,1.8,{x=-5;y=10},koudai_molue/hero_molue.skel,,config/big_hero/standby/img_49_mle@.png,,{x=100;y=-30},,<1921;1922;1923>,,,{'hitPos'={'x'=0;'y'=130};'lifePos'={'x'=0;'y'=280};'headPos'={'x'=0;'y'=240};'namePos'={'x'=0;'y'=280}},,,,1,,,0.72,,,,,,,,,,,,,42.404,1.062,8.891,9.452,3.531,3.659,1.13,1.18,1.11,1.1,1.18,1.14,952,1000,400,,,,188,262,76,93,0,0,38,100,15000,0,0,100,3000,0,10000,0,10000,100,0,0,0,,,0,0,,,,,,
